lon,lat,eye,ear,mouth,skin,digest,nutrition,move,total,direction
99.6495675,20.2682073,1,57,6,0,17,1,28,230,right
99.707803,20.292001,2,9,4,0,12,2,19,219,right
99.6603587,20.3004812,2,45,1,6,32,3,20,148,left
99.6192079,20.3214423,12,53,35,23,108,10,97,556,bottom
99.6024246,20.319803,0,48,0,3,0,0,15,289,right
99.7009754,20.2756662,2,55,16,1,37,6,49,630,right
99.67738386,20.2495344,0,0,3,0,0,1,5,123,right
99.5933581,20.2765031,2,41,7,3,24,5,29,285,right
99.6340881,20.3277826,5,23,18,12,24,7,36,243,left
99.652475,20.248458,28,210,47,135,218,99,295,1611,bottom
99.5454694,20.3259223,0,0,0,0,0,1,21,154,right
